page_id,slug,seo_title,title_len,meta_description,desc_len
1444,about,About Innovive | Disposable Vivarium Caging,43,"Learn how Innovive reinvented vivarium infrastructure with single-use disposable IVC caging and Inno+ services, trusted by research facilities in 43 countries.",159
2472,aquavive-mouse-water,Aquavive Pre-Filled Mouse Water Bottles | Innovive,50,"Aquavive pre-filled, disposable mouse water bottles arrive ready to use — no filling or washing. Consistent hydration and biosecurity for IVC mouse caging.",155
2491,aquavive-rat-water,Aquavive Pre-Filled Rat Water Bottles | Innovive,48,"Aquavive pre-filled, disposable rat water bottles arrive ready to use — no filling or washing. Reliable hydration and biosecurity for IVC rat caging.",149
51,blog-news,Vivarium Insights: Blog & Industry News | Innovive,50,"Insights on vivarium operations, biosecurity, sustainability, and preclinical research from Innovive — makers of research-ready disposable IVC caging.",150
2367,ca-supply-chain,California Supply Chain Transparency Act | Innovive,51,Innovive's disclosure under the California Transparency in Supply Chains Act regarding efforts to address forced labor and human trafficking.,141
1493,career,Careers at Innovive | Join Our Vivarium Team,44,"Explore careers at Innovive and help advance preclinical research with sustainable, research-ready vivarium caging and services. View open roles and apply.",155
3267,case-studies,Case Studies: Vivarium Success Stories | Innovive,49,"Read how research facilities cut cage-wash costs, improved biosecurity, and boosted sustainability with Innovive disposable IVC caging and Inno+ services.",154
1671,contact,Contact Innovive | Vivarium Caging & Services,45,"Get in touch with Innovive for disposable IVC caging, racks, and Inno+ vivarium management services. Talk to an expert about your research facility's needs.",156
1892,crd-hld-h-3,Innocage Cage Card Holder | Innovive,36,"Innovive cage card holders keep animal records organized and visible on the Innocage disposable IVC system — durable, wash-free vivarium accessories.",149
3136,document-lookup,Product Documentation & Spec Lookup | Innovive,46,"Look up Innovive product specifications, datasheets, and documentation for disposable IVC caging, racks, and accessories in one place.",134
565,enrichment,Mouse & Rat Cage Enrichment | Innovive,38,"Innovive cage enrichment supports animal welfare with nesting, climbing, and shelter options built for disposable IVC mouse and rat housing.",140
3266,events,Events & Conferences | Innovive,31,See where to meet Innovive next. Find upcoming conferences and events for the laboratory animal science and preclinical research community.,139
3264,faq,Vivarium Caging FAQ | Innovive,30,"Answers to common questions about Innovive disposable IVC caging, recycling, biosecurity, water, bedding, and Inno+ vivarium services.",134
130,gnotobiotics,Gnotobiotic & Germ-Free Rodent Caging | Innovive,48,Innovive supports gnotobiotic and germ-free mouse research with disposable IVC caging engineered for the highest biosecurity and microbiome control.,148
38,home,Disposable IVC Caging & Vivarium Solutions | Innovive,53,"Innovive makes research-ready, single-use disposable IVC caging and Inno+ vivarium services that cut labor, contamination, and cage-wash costs.",143
3254,how-it-works,How the Innovive Disposable IVC System Works,44,"See how Innovive's disposable IVC system replaces cage washing: research-ready caging arrives ready to use and is recycled after — no wash, less labor.",151
1364,inno-plus,Inno+ Vivarium Management & Husbandry Services,46,"Inno+ pairs Innovive's disposable IVC system with expert on-site husbandry, vivarium management, and scientific support so your team can focus on research.",155
1852,innodome-innowheel,Innodome & Innowheel Mouse Enrichment | Innovive,48,The Innodome shelter and Innowheel running wheel add welfare-boosting enrichment to Innovive disposable mouse caging — research-ready and single-use.,149
2677,innorack-mouse,Innorack IVC Mouse Rack System | Innovive,41,"The Innorack IVC mouse rack pairs HEPA-filtered airflow with disposable mouse caging for a high-density, wash-free rodent rack that scales with your vivarium.",158
3067,innorack-rat,Innorack IVC Rat Rack System | Innovive,39,"The Innorack IVC rat rack delivers individually ventilated, disposable rat caging — a wash-free rodent rack that reduces labor and contamination in your facility.",162
3496,innotransport-mouse,InnoTransit Mouse Transport Cart | Innovive,43,The InnoTransit cart moves Innovive disposable mouse caging between rooms with stability and biosecurity — mobile handling for IVC mouse housing.,145
1868,innotube,Innotube Mouse Enrichment Tube | Innovive,41,The Innotube gives mice a natural shelter and enrichment element inside disposable IVC caging — supporting animal welfare and consistent research conditions.,157
3268,job-application,Careers: Job Application | Innovive,35,Apply to join the Innovive team. Submit your job application to help advance research-ready vivarium caging and Inno+ services for research facilities.,151
3965,job-application-form,Job Application Form | Innovive,31,Apply to Innovive. Complete the job application form to join our team advancing research-ready disposable IVC caging and vivarium services.,139
1904,m-climb-2,M-CLIMB Mouse Cage Enrichment | Innovive,40,"M-CLIMB adds climbing enrichment to Innovive disposable mouse caging, promoting natural behavior and animal welfare in the Innocage IVC system.",143
1818,m-divider2-2,M-DIVIDER2 Mouse Cage Divider | Innovive,40,"The M-DIVIDER2 partitions Innovive disposable mouse caging for controlled housing and breeding setups — flexible, wash-free rodent housing.",139
1886,m-innorichment,M-Innorichment Mouse Enrichment | Innovive,42,M-Innorichment delivers built-in nesting and enrichment for Innovive disposable mouse caging — supporting welfare without adding cage-wash burden.,146
3140,metabolic-cage-kit,Metabolic Cage Kit for Rodents | Innovive,41,Innovive's disposable metabolic cage kit enables clean urine and feces collection for rodent studies — research-ready and wash-free.,132
3627,mouse-caging-btm,Disposable Mouse Cage Bottoms | Innovive,40,"Innocage disposable mouse cage bottoms provide research-ready, wash-free rodent housing — pre-bedded options that reduce labor and contamination risk.",150
4024,mouse-caging-m-btm,M-BTM Disposable Mouse Cage Bottom | Innovive,45,"The M-BTM disposable mouse cage bottom delivers standard-height, wash-free mouse housing for the Innocage IVC system — research-ready and recyclable.",149
3316,mouse-caging-m-btm-xl,M-BTM-XL Mouse Cage Bottom | Innovive,37,"The M-BTM-XL disposable mouse cage bottom offers extra volume for breeding and larger groups — wash-free, research-ready Innocage mouse housing.",144
2507,mouse-feeders,Disposable Mouse Cage Feeders | Innovive,40,"Innovive disposable mouse feeders deliver clean, consistent feed presentation for the Innocage IVC system — wash-free and research-ready.",137
1501,mouse-lids,Disposable Mouse Cage Lids | Innovive,37,"Innovive disposable mouse cage lids complete the Innocage system with filtered, wash-free lids engineered for biosecurity and consistent IVC airflow.",149
